,Unnamed: 0,y_act,Reason,Attribute_name,Total_val,num_of_dist_val,% nans,max_val,mean,min_val,std_dev,sample_1,sample_2,sample_3,sample_4,sample_5,0,1,2,3,p_dist_val,p_nans,castability,extractability,len_val
0,0,3,l,StratificationCategory2,403984,1,0.803648164283734,0.0,0.0,0.0,0.0,,,,,,0.05831611710703349,0.43362467636912705,0.01859139659565209,0.4894678099281874,2.4753455582399303e-06,0.803648164283734,0,0,0.0
1,1,3,l,Stratification2,403984,1,0.803648164283734,0.0,0.0,0.0,0.0,,,,,,0.01936048651127693,0.4515628858008799,0.01936048651127693,0.5097161411765664,2.4753455582399303e-06,0.803648164283734,0,0,0.0
2,2,3,l,StratificationCategory3,403984,1,0.803648164283734,0.0,0.0,0.0,0.0,,,,,,0.05831611710703349,0.43362467636912705,0.01859139659565209,0.4894678099281874,2.4753455582399303e-06,0.803648164283734,0,0,0.0
3,3,3,l,Stratification3,403984,1,0.803648164283734,0.0,0.0,0.0,0.0,,,,,,0.01936048651127693,0.4515628858008799,0.01936048651127693,0.5097161411765664,2.4753455582399303e-06,0.803648164283734,0,0,0.0
4,4,2,c,GeoLocation,403984,55,0.006356687393560141,0.0,0.0,0.0,0.0,"(64.84507995700051, -147.72205903599973)","(32.84057112200048, -86.63186076199969)","(34.74865012400045, -92.27449074299966)","(34.865970280000454, -111.76381127699972)","(37.63864012300047, -120.99999953799971)",0.09007164996091387,0.028045474982610244,0.8538374000738655,0.028045474982610244,0.00013614400570319618,0.006356687393560141,1,0,2.0
5,5,3,l,ResponseID,403984,1,0.803648164283734,0.0,0.0,0.0,0.0,,,,,,0.01936048651127693,0.4515628858008799,0.01936048651127693,0.5097161411765664,2.4753455582399303e-06,0.803648164283734,0,0,0.0
6,6,0,g,LocationID,403984,55,0.0,78.0,31.0033739,1.0,17.70023754,2,1,5,4,6,0.0006284344333470091,0.9972552044154306,0.0018768392489768883,0.00023952190224528017,0.00013614400570319618,0.0,1,0,1.0
7,7,0,g,TopicID,403984,17,0.0,0.0,0.0,0.0,0.0,ALC,AST,ART,CAN,DIA,0.8598205508874766,0.027547626558611246,0.08508419599530101,0.027547626558611246,4.208087449007882e-05,0.0,0,0,1.0
8,8,0,g,QuestionID,403984,201,0.0,0.0,0.0,0.0,0.0,ALC1_1,ALC2_1,ALC2_2,AST4_1,ALC2_3,0.38693153933113666,0.12047829490192855,0.37211187086500636,0.12047829490192855,0.0004975444572062259,0.0,0,0,1.0
9,9,0,g,DataValueTypeID,403984,19,0.0,0.0,0.0,0.0,0.0,CrdPrev,AgeAdjPrev,Nmbr,Mean,AgeAdjMean,0.9114391792869968,0.029520273571001083,0.029520273571001083,0.029520273571001083,4.703156560655868e-05,0.0,0,0,1.0
10,10,0,h,StratificationCategoryID1,403984,3,0.0,0.0,0.0,0.0,0.0,OVERALL,RACE,GENDER,GENDER,OVERALL,0.900432468894166,0.03318917703527795,0.03318917703527795,0.03318917703527795,7.426036674719791e-06,0.0,0,0,1.0
11,11,0,g,StratificationID1,403984,10,0.0,0.0,0.0,0.0,0.0,OVR,BLK,GENF,HIS,GENM,0.7724513878089733,0.07584953739700888,0.07584953739700888,0.07584953739700888,2.4753455582399302e-05,0.0,0,0,1.0
12,12,3,l,StratificationCategoryID2,403984,1,0.8036456889381758,0.0,0.0,0.0,0.0,,,,,,0.05831611710703349,0.43362467636912705,0.01859139659565209,0.4894678099281874,2.4753455582399303e-06,0.8036456889381758,0,0,0.0
13,13,3,l,StratificationID2,403984,1,0.8036456889381758,0.0,0.0,0.0,0.0,,,,,,0.01936048651127693,0.4515628858008799,0.01936048651127693,0.5097161411765664,2.4753455582399303e-06,0.8036456889381758,0,0,0.0
14,14,3,l,StratificationCategoryID3,403984,1,0.803648164283734,0.0,0.0,0.0,0.0,,,,,,0.05831611710703349,0.43362467636912705,0.01859139659565209,0.4894678099281874,2.4753455582399303e-06,0.803648164283734,0,0,0.0
15,15,3,l,StratificationID3,403984,1,0.803648164283734,0.0,0.0,0.0,0.0,,,,,,0.01936048651127693,0.4515628858008799,0.01936048651127693,0.5097161411765664,2.4753455582399303e-06,0.803648164283734,0,0,0.0
16,16,0,h,add_these_pw_job_title_9089,374362,4276,0.8872909109364733,0.0,0.0,0.0,0.0,,Production Supervisor,TRANSMISSION REPAIR HELPER,"Electronics Engineers, Except Computer","Software Developers, Systems Software",0.20734872398614426,0.06765438558891113,0.6573425048360334,0.06765438558891113,0.0114220994652235,0.8872909109364733,0,0,2.6
17,17,0,f,agent_city,374362,1838,0.4351616884192306,0.0,0.0,0.0,0.0,,Milwaukee,RALEIGH,Littleton,Los Angeles,0.7705369256925494,0.07648769143581685,0.07648769143581685,0.07648769143581685,0.004909686346370625,0.4351616884192306,0,0,1.0
18,19,0,f,agent_state,374362,108,0.443749632708448,0.0,0.0,0.0,0.0,,WISCONSIN,NORTH CAROLINA,COLORADO,CALIFORNIA,0.7705369256925494,0.07648769143581685,0.07648769143581685,0.07648769143581685,0.00028849081904680496,0.443749632708448,0,0,1.0
19,20,0,h,application_type,374362,3,0.6386679203551643,0.0,0.0,0.0,0.0,PERM,ONLINE,MAILEDIN,,MAILEDIN,0.9651768483092112,0.011607717230262915,0.011607717230262915,0.011607717230262915,8.01363386241125e-06,0.6386679203551643,0,0,0.8
20,23,2,d,case_received_date,374362,2180,0.3613374220674107,0.0,0.0,0.0,0.0,,19/11/13,2013-12-11 00:00:00,27/11/13,13/11/13,0.2081800800548088,0.06482072027756268,0.6621784793900658,0.06482072027756268,0.005823240606685508,0.3613374220674107,1,0,1.0
21,24,0,h,case_status,374362,4,0.0,0.0,0.0,0.0,0.0,Certified,Denied,Certified-Expired,Withdrawn,Certified,0.766411055569351,0.07786298147688293,0.07786298147688293,0.07786298147688293,1.0684845149881665e-05,0.0,0,0,1.0
22,25,0,g,class_of_admission,374362,57,0.061023821862261664,0.0,0.0,0.0,0.0,J-1,B-2,H-1B,L-1,EWI,0.517034873429926,0.16098837552335793,0.16098837552335793,0.16098837552335793,0.00015225904338581373,0.061023821862261664,0,0,1.0
