5.831611710703348689e-02,4.336246763691270489e-01,1.859139659565208977e-02,4.894678099281874473e-01
1.936048651127693365e-02,4.515628858008798319e-01,1.936048651127693365e-02,5.097161411765663841e-01
5.831611710703348689e-02,4.336246763691270489e-01,1.859139659565208977e-02,4.894678099281874473e-01
1.936048651127693365e-02,4.515628858008798319e-01,1.936048651127693365e-02,5.097161411765663841e-01
9.007164996091385212e-02,2.804547498261024396e-02,8.538374000738656600e-01,2.804547498261024396e-02
1.936048651127693365e-02,4.515628858008798319e-01,1.936048651127693365e-02,5.097161411765663841e-01
6.284344333470091902e-04,9.972552044154308071e-01,1.876839248976888306e-03,2.395219022452801960e-04
8.598205508874764424e-01,2.754762655861124968e-02,8.508419599530102351e-02,2.754762655861124968e-02
3.869315393311366091e-01,1.204782949019285732e-01,3.721118708650063001e-01,1.204782949019285732e-01
9.114391792869966924e-01,2.952027357100108287e-02,2.952027357100108287e-02,2.952027357100108287e-02
9.004324688941661714e-01,3.318917703527794749e-02,3.318917703527794749e-02,3.318917703527794749e-02
7.724513878089733776e-01,7.584953739700886488e-02,7.584953739700886488e-02,7.584953739700886488e-02
5.831611710703348689e-02,4.336246763691270489e-01,1.859139659565208977e-02,4.894678099281874473e-01
1.936048651127693365e-02,4.515628858008798319e-01,1.936048651127693365e-02,5.097161411765663841e-01
5.831611710703348689e-02,4.336246763691270489e-01,1.859139659565208977e-02,4.894678099281874473e-01
1.936048651127693365e-02,4.515628858008798319e-01,1.936048651127693365e-02,5.097161411765663841e-01
2.073487239861442621e-01,6.765438558891113952e-02,6.573425048360334033e-01,6.765438558891113952e-02
7.705369256925493904e-01,7.648769143581685137e-02,7.648769143581685137e-02,7.648769143581685137e-02
7.705369256925493904e-01,7.648769143581685137e-02,7.648769143581685137e-02,7.648769143581685137e-02
9.651768483092112438e-01,1.160771723026291641e-02,1.160771723026291641e-02,1.160771723026291641e-02
2.081800800548087860e-01,6.482072027756267951e-02,6.621784793900657995e-01,6.482072027756267951e-02
7.664110555693511850e-01,7.786298147688293370e-02,7.786298147688293370e-02,7.786298147688293370e-02
